price,bathrooms,grade,sqft_above,sqft_living15,zipcode
221900.0,1.0,7,1180,1340,98178
538000.0,2.25,7,2170,1690,98125
180000.0,1.0,6,770,2720,98028
604000.0,3.0,7,1050,1360,98136
510000.0,2.0,8,1680,1800,98074
1225000.0,4.5,11,3890,4760,98053
257500.0,2.25,7,1715,2238,98003
291850.0,1.5,7,1060,1650,98198
229500.0,1.0,7,1050,1780,98146
323000.0,2.5,7,1890,2390,98038
662500.0,2.5,8,1860,2210,98007
468000.0,1.0,7,860,1330,98115
310000.0,1.0,7,1430,1780,98028
400000.0,1.75,7,1370,1370,98074
530000.0,2.0,7,1810,1360,98107
650000.0,3.0,9,1980,2140,98126
395000.0,2.0,7,1890,1890,98019
485000.0,1.0,7,1600,1610,98103
189000.0,1.0,7,1200,1060,98002
230000.0,1.0,7,1250,1280,98003
385000.0,1.75,7,860,1400,98133
2000000.0,2.75,9,2330,4110,98040
285000.0,2.5,8,2270,2240,98092
252700.0,1.5,7,1070,1220,98030
329000.0,2.25,8,2450,2200,98030
233000.0,2.0,6,1710,1030,98002
937000.0,1.75,8,1750,1760,98119
667000.0,1.0,8,1400,1860,98112
438000.0,1.75,7,790,1520,98115
719000.0,2.5,8,2570,2630,98052
580500.0,2.5,8,2320,2580,98027
280000.0,1.5,7,1190,1390,98133
687500.0,1.75,7,1510,1460,98117
535000.0,1.0,8,1090,1570,98117
322500.0,2.75,7,1280,2020,98058
696000.0,2.5,8,1510,1590,98115
550000.0,1.0,5,930,2160,98052
640000.0,2.0,8,2360,1730,98107
240000.0,1.0,7,890,1290,98001
605000.0,2.5,8,2620,2620,98056
625000.0,2.5,9,2570,2470,98074
775000.0,2.25,8,2600,2410,98166
861990.0,2.75,9,3595,3625,98053
685000.0,1.0,7,1570,1580,98119
309000.0,1.0,6,920,1340,98058
488000.0,2.5,8,3160,3050,98019
210490.0,1.0,6,990,1228,98023
785000.0,2.5,9,2290,2680,98007
450000.0,1.75,7,1250,970,98115
1350000.0,2.5,9,2165,2680,98070
228000.0,1.0,7,1190,1190,98148
345000.0,2.5,8,1640,1990,98056
600000.0,1.75,7,1000,1410,98117
585000.0,1.75,7,990,1480,98117
920000.0,2.25,8,2130,2730,98105
885000.0,2.5,9,2830,1950,98105
292500.0,2.5,7,2250,2250,98042
301000.0,2.5,8,2420,2690,98042
951000.0,3.25,8,3250,2960,98008
430000.0,3.0,8,1850,2270,98059
650000.0,2.25,8,1590,2570,98166
289000.0,1.75,7,1260,1290,98148
505000.0,1.75,8,2519,2500,98166
549000.0,1.75,8,1540,1580,98115
425000.0,2.25,7,1110,1440,98122
317625.0,2.75,7,1770,1440,98144
975000.0,2.5,10,2720,2750,98004
287000.0,2.5,7,2240,2221,98001
204000.0,1.0,7,1000,1010,98042
1325000.0,2.25,8,1600,3390,98004
1040000.0,3.25,11,3070,3530,98005
325000.0,2.0,7,1260,1640,98034
571000.0,2.0,7,2250,1510,98125
360000.0,2.5,8,2380,2420,98038
349000.0,1.75,7,1090,1940,98042
832500.0,4.0,10,2390,3240,98075
380000.0,1.75,7,880,1680,98008
480000.0,1.0,7,1040,890,98116
410000.0,1.0,7,910,1130,98133
720000.0,2.5,10,3450,3350,98010
390000.0,2.5,8,2350,2350,98038
360000.0,2.5,7,1900,1870,98038
