price,bathrooms,grade,sqft_above,sqft_living15,zipcode,zip_encoder,grade2,zip_encoder2
221900.0,1.0,7,1180,1340,98178,13,49,169
538000.0,2.25,7,2170,1690,98125,33,49,1089
180000.0,1.0,6,770,2720,98028,31,36,961
604000.0,3.0,7,1050,1360,98136,39,49,1521
510000.0,2.0,8,1680,1800,98074,57,64,3249
1225000.0,4.5,11,3890,4760,98053,55,121,3025
257500.0,2.25,7,1715,2238,98003,8,49,64
291850.0,1.5,7,1060,1650,98198,11,49,121
229500.0,1.0,7,1050,1780,98146,20,49,400
323000.0,2.5,7,1890,2390,98038,21,49,441
662500.0,2.5,8,1860,2210,98007,48,64,2304
468000.0,1.0,7,860,1330,98115,50,49,2500
310000.0,1.0,7,1430,1780,98028,31,49,961
400000.0,1.75,7,1370,1370,98074,57,49,3249
530000.0,2.0,7,1810,1360,98107,42,49,1764
650000.0,3.0,9,1980,2140,98126,27,81,729
395000.0,2.0,7,1890,1890,98019,28,49,784
485000.0,1.0,7,1600,1610,98103,44,49,1936
189000.0,1.0,7,1200,1060,98002,1,49,1
230000.0,1.0,7,1250,1280,98003,8,49,64
385000.0,1.75,7,860,1400,98133,22,49,484
2000000.0,2.75,9,2330,4110,98040,68,81,4624
285000.0,2.5,8,2270,2240,98092,17,64,289
252700.0,1.5,7,1070,1220,98030,9,49,81
329000.0,2.25,8,2450,2200,98030,9,64,81
233000.0,2.0,6,1710,1030,98002,1,36,1
937000.0,1.75,8,1750,1760,98119,62,64,3844
667000.0,1.0,8,1400,1860,98112,67,64,4489
438000.0,1.75,7,790,1520,98115,50,49,2500
719000.0,2.5,8,2570,2630,98052,52,64,2704
580500.0,2.5,8,2320,2580,98027,47,64,2209
280000.0,1.5,7,1190,1390,98133,22,49,484
687500.0,1.75,7,1510,1460,98117,41,49,1681
535000.0,1.0,8,1090,1570,98117,41,64,1681
322500.0,2.75,7,1280,2020,98058,18,49,324
696000.0,2.5,8,1510,1590,98115,50,64,2500
550000.0,1.0,5,930,2160,98052,52,25,2704
640000.0,2.0,8,2360,1730,98107,42,64,1764
240000.0,1.0,7,890,1290,98001,4,49,16
605000.0,2.5,8,2620,2620,98056,24,64,576
625000.0,2.5,9,2570,2470,98074,57,81,3249
775000.0,2.25,8,2600,2410,98166,32,64,1024
861990.0,2.75,9,3595,3625,98053,55,81,3025
685000.0,1.0,7,1570,1580,98119,62,49,3844
309000.0,1.0,6,920,1340,98058,18,36,324
488000.0,2.5,8,3160,3050,98019,28,64,784
210490.0,1.0,6,990,1228,98023,6,36,36
785000.0,2.5,9,2290,2680,98007,48,81,2304
450000.0,1.75,7,1250,970,98115,50,49,2500
1350000.0,2.5,9,2165,2680,98070,34,81,1156
228000.0,1.0,7,1190,1190,98148,5,49,25
345000.0,2.5,8,1640,1990,98056,24,64,576
600000.0,1.75,7,1000,1410,98117,41,49,1681
585000.0,1.75,7,990,1480,98117,41,49,1681
920000.0,2.25,8,2130,2730,98105,64,64,4096
885000.0,2.5,9,2830,1950,98105,64,81,4096
292500.0,2.5,7,2250,2250,98042,14,49,196
301000.0,2.5,8,2420,2690,98042,14,64,196
951000.0,3.25,8,3250,2960,98008,53,64,2809
430000.0,3.0,8,1850,2270,98059,36,64,1296
650000.0,2.25,8,1590,2570,98166,32,64,1024
289000.0,1.75,7,1260,1290,98148,5,49,25
505000.0,1.75,8,2519,2500,98166,32,64,1024
549000.0,1.75,8,1540,1580,98115,50,64,2500
425000.0,2.25,7,1110,1440,98122,51,49,2601
317625.0,2.75,7,1770,1440,98144,45,49,2025
975000.0,2.5,10,2720,2750,98004,69,100,4761
287000.0,2.5,7,2240,2221,98001,4,49,16
204000.0,1.0,7,1000,1010,98042,14,49,196
1325000.0,2.25,8,1600,3390,98004,69,64,4761
1040000.0,3.25,11,3070,3530,98005,61,121,3721
325000.0,2.0,7,1260,1640,98034,37,49,1369
571000.0,2.0,7,2250,1510,98125,33,49,1089
360000.0,2.5,8,2380,2420,98038,21,64,441
349000.0,1.75,7,1090,1940,98042,14,49,196
832500.0,4.0,10,2390,3240,98075,58,100,3364
380000.0,1.75,7,880,1680,98008,53,49,2809
480000.0,1.0,7,1040,890,98116,49,49,2401
410000.0,1.0,7,910,1130,98133,22,49,484
720000.0,2.5,10,3450,3350,98010,25,100,625
390000.0,2.5,8,2350,2350,98038,21,64,441
360000.0,2.5,7,1900,1870,98038,21,49,441
355000.0,1.0,7,1010,1720,98118,23,49,529
356000.0,1.5,8,1680,1850,98059,36,64,1296
315000.0,1.0,6,960,1570,98125,33,36,1089
940000.0,1.5,9,1900,2020,98119,62,81,3844
